,Time_Gyr,ExpansionFactor,zPositionMedian_kpc,zPosition16thPercentile_kpc,zPosition84thPercentile_kpc,zPositionAbsMedian_kpc,zPositionAbs16thPercentile_kpc,zPositionAbs84thPercentile_kpc,zAngularMomFracMedian,zAngularMomFrac16thPercentile,zAngularMomFrac84thPercentile,CircularityMedian,Circularity16thPercentile,Circularity84thPercentile
90,7.80170653839661,0.616740021992414,-0.003958099576596399,-0.6343270149960608,0.6562573275788903,0.38903247338964053,0.10363402817524958,1.0631238702681323,0.9472546066350003,0.8321841418149485,0.9879930789411516,0.8653636387019741,0.6323143634174901,1.0807335970707508
91,7.947679589081643,0.6255695465925124,0.014655107328047534,-0.6006054873750813,0.6481219721158938,0.36725529771469173,0.09660197666009089,1.0725306831989327,0.9468653182027349,0.8293640573440538,0.9885343287985058,0.8606281156551734,0.6184337689836015,1.0796889061987576
92,8.095671082722221,0.6345254785958663,0.0036295938511669624,-0.6317968988704467,0.662473588163593,0.39180757631317376,0.1040305989454268,1.0709373879339728,0.9447398100448106,0.8272057462998248,0.9872044797108305,0.8629088041194177,0.6181499006554496,1.0745522468171422
93,8.296126559325902,0.6466664866145445,0.004771576027148316,-0.64709693523753,0.6413267586913781,0.386595631007025,0.10332177219974645,1.0813254193561321,0.9470415049450448,0.8245980042043064,0.9881249448884779,0.8629217490943535,0.6093375816044109,1.07247642072008
94,8.448811765562718,0.6559244517992534,0.004866340533231582,-0.644219568224801,0.641244546853393,0.38158230139078814,0.10115415011333337,1.088766904079648,0.9473031203375365,0.823087800848489,0.9884406602760062,0.8585297268754115,0.5944523826446009,1.0699882240594536
95,8.60349865622863,0.6653149581332802,0.003784476088152385,-0.6353912872274088,0.6341554157634045,0.37741952060870765,0.10034541509328883,1.0787371953866127,0.9472956932846579,0.8173277001125684,0.988600422550073,0.8540420556793025,0.5810815839673017,1.0646885718072163
96,8.760179450310375,0.6748399031346985,0.018703105256612597,-0.6098502758555453,0.6944491265119186,0.3926541250657337,0.10459671907897572,1.0900858393950388,0.9506234535230706,0.8262187588979815,0.9891769781968697,0.8699931450223534,0.598169233238,1.0667314465659297
97,8.918845098217659,0.684501211487295,0.03501756192743815,-0.5944496051255068,0.7070990088093799,0.3995157346214566,0.10784642372756989,1.0782064857514329,0.9523495906368847,0.8238729223665557,0.9896688692357939,0.8721345597227362,0.5905602663621926,1.0676960342332606
98,9.079485288786328,0.6943008354294861,0.03599567417617591,-0.6061986292725213,0.6832714018377454,0.39709855594445276,0.10952799404097234,1.0699908246876682,0.9541798777505167,0.8225198425543826,0.9907261064787252,0.8770364854650634,0.5897148516965397,1.068712590321309
99,9.242088459951992,0.7042407551488017,0.03104601576188996,-0.5949703105883992,0.6437343032563375,0.38811300819453076,0.11020995165788805,1.013086383352792,0.955703667881513,0.8253012652621788,0.9914775318494325,0.8818187759815268,0.6038887174898309,1.0666276170270248
100,9.406641813093389,0.7143229791820179,0.05444923277067128,-0.5549443057075916,0.6731311476495632,0.3881990536221906,0.10916013793657467,1.0109583163996358,0.9591225860612913,0.8336131786814152,0.9920978468244225,0.8879027410021105,0.6195392328771999,1.0661769944470088
101,9.573131331020738,0.7245495448210172,0.004877931512761667,-0.620872838172981,0.6290981449227914,0.39411988552164523,0.11090790072747507,1.0121302914183943,0.9590773539094931,0.8407541002738077,0.9915208794634696,0.8933059325110004,0.6455355679008441,1.0648027819141377
102,9.741541799560094,0.7349225185244588,-0.015090753703298638,-0.6509633403088557,0.6123059873231868,0.39672539099041076,0.10991189751135245,1.024899415962745,0.9598794608702843,0.8416990106044739,0.9915602524065921,0.899961517763568,0.6517919919086723,1.0709595544178074
103,9.854874595547287,0.7419202059930923,0.00549387447057509,-0.6198644593790548,0.6377408714653983,0.3970969549338074,0.11080932280999649,1.0268578983005772,0.9609231615957239,0.8461200890265643,0.9918458319789674,0.896629272352033,0.6524667253794602,1.0665615749233768
104,10.026449669104903,0.7525418658117033,0.001412963087419127,-0.603182550105044,0.6014466074165089,0.3763063363363013,0.10493953776780944,0.9884126137240246,0.9634549245896741,0.8497790396015781,0.9929015769231,0.9047845639708435,0.6532848014532096,1.0740184563913828
105,10.19989947196752,0.7633155900388464,-0.01624564143555115,-0.6304465391836465,0.5759665175880425,0.37730073365465694,0.10438047849625312,0.9912561487377477,0.965434478484305,0.8545341551323165,0.99326351743813,0.9022130253394618,0.6600751841345506,1.0705343228510906
106,10.375204641492832,0.7742435556962617,-0.006123904555843323,-0.6184822963407495,0.6009856059341873,0.3792288534350015,0.10271736808397378,1.0010329996953007,0.965369294054073,0.8531635110449701,0.9931752502528204,0.8924780130504112,0.6445951710471292,1.0636247136641495
107,10.552344763553133,0.7853279709729014,-0.009851505374875353,-0.6182489712657967,0.6038013501884372,0.376842081027593,0.10337635047774543,1.0047570621578712,0.9656658472993037,0.8599831697325202,0.9931234563993174,0.8969084092038662,0.6615108202767626,1.064087597085394
108,10.67144705609926,0.7928056023731169,0.007499143599144871,-0.5797234742370055,0.5989515941453658,0.3644312102995761,0.10010249495810107,0.9765837958238638,0.9660358728352036,0.864093629705048,0.9932999822620738,0.904956043374471,0.6717606806233539,1.07167853091828
109,10.85159733936031,0.8041557601699713,-0.0013941752344493522,-0.5833257130362347,0.5862582761276639,0.36045317824132067,0.09847163646038297,0.9756971314515009,0.967563350451436,0.8669713816675179,0.993794314945277,0.902121846430453,0.6698590839419338,1.0663721445828616
110,11.033523308792786,0.8156684118765909,0.0003536916274405956,-0.5704383180911837,0.5700646811629995,0.3512032734258451,0.09607498336743364,0.9527871764757708,0.9689777915124167,0.8677095715751989,0.99411934635886,0.9042163059838635,0.663815403506899,1.075555982296229
111,11.155782009390867,0.823434934850752,-0.01598836862304838,-0.5778692959534095,0.5389747847821129,0.34514878120058556,0.09449406174387882,0.9329832203092189,0.9694021471523178,0.8693875831535635,0.9942414225249697,0.905763171352218,0.6603900026175028,1.0810903424788318
112,11.340613907183545,0.8352235958012078,0.004957919782589176,-0.5803936003004224,0.5747063569869604,0.3567092605038997,0.09720398588721048,0.9620738674367711,0.968987803009354,0.8712711256144832,0.9936666258731999,0.9035357713135472,0.665510221549755,1.0725091753513476
113,11.527155884914245,0.8471810284677068,-0.009188895457356606,-0.5781714158001093,0.5639011264687159,0.3489869883592319,0.09491090253692937,0.964820944248901,0.9689365447870871,0.8709010321701812,0.9939160091488023,0.9062985076679774,0.6602857741496896,1.073891342044898
114,11.652454415336605,0.8552476040823377,-0.007675340520615978,-0.5784177518920471,0.5563788004613944,0.3495480857113268,0.09576095729721801,0.9490348071673288,0.9687935186251855,0.8681165037128288,0.9939189976147168,0.9042424420273478,0.649383205210694,1.0753869454039273
115,11.841788296065106,0.8674917093619414,0.014923299552697156,-0.5337465341710048,0.5704913562318801,0.33823437596529127,0.09214460758731942,0.922047257932825,0.9699931479011057,0.8712824811657293,0.9941438046296727,0.9078733134709154,0.6478530694022667,1.0780304536995668
116,11.968923189270404,0.8757516765159388,-0.0006739628197886592,-0.5456075991109824,0.5512858488011723,0.3345471304923357,0.09068705276296034,0.923631227147663,0.9707959188100508,0.8755873924896437,0.9945850958068279,0.904555374233783,0.6608927692613908,1.0706687106096069
